EDAD;GENERO;INGRESOS;EGRESOS;HABITO_PAGO;CREDITOS_VIGENTES;PUNTAJE_RIESGO;ESTADO
67;F; $ 1.189.261 ; $ 452.000 ;E;7;2.124;Aprobada
67;F; $ 1.344.000 ; $ 452.000 ;B;0;1.254;Negada
67;F; $ 1.476.160 ; $ 565.000 ;E;5;1.608;Negada
67;F; $ 2.016.000 ; $ 678.000 ;B;9;1.980;Desistida
67;F; $ 1.344.000 ; $ 690.430 ;E;5;2.568;Desistida
67;F; $ 989.565 ; $ 452.000 ;B;0;2.136;Desistida
67;M; $ 1.456.000 ; $ 452.000 ;B;0;0;Negada
67;F; $ 1.534.400 ; $ 802.300 ;E;7;2.553;Desistida
67;F; $ 8.960.000 ; $ 3.390.000 ;E;5;2.358;Desistida
67;F; $ 5.600.000 ; $ 2.260.000 ;E;1;2.532;Desistida
67;M; $ 1.120.000 ; $ 339.000 ;B;2;1.053;Negada
67;F; $ 2.016.000 ; $ 565.000 ;B;2;3;Negada
67;M; $ 784.000 ; $ 435.050 ;B;1;2.388;Negada
67;F; $ 2.016.000 ; $ 452.000 ;B;1;3;Negada
67;M; $ 1.232.000 ; $ 316.400 ;C;1;3;Negada
67;M; $ 1.962.240 ; $ 655.400 ;B;2;2.130;Aprobada
67;F; $ 4.480.000 ; $ 1.921.000 ;B;1;2.427;Desistida
67;M; $ 1.097.600 ; $ 565.000 ;B;4;2.121;Desistida
67;M; $ 13.440.000 ; $ 10.170.000 ;E;10;2.667;Aprobada
67;F; $ 9.632.000 ; $ 1.570.700 ;B;0;12;Aprobada
67;F; $ 1.624.000 ; $ 282.500 ;E;11;2.298;Desistida
67;F; $ 1.680.000 ; $ 1.356.000 ;B;0;12;Negada
67;F; $ 973.253 ; $ 497.200 ;E;3;1.038;Anulada
67;F; $ 973.253 ; $ 497.200 ;E;3;1.038;Anulada
67;F; $ 973.253 ; $ 497.200 ;E;3;1.038;Aprobada
67;F; $ 2.713.760 ; $ 339.000 ;E;3;2.724;Desistida
67;F; $ 1.088.640 ; $ 282.500 ;E;3;2.214;Desistida
67;F; $ 1.232.000 ; $ 531.100 ;E;6;2.274;Negada
67;M; $ 1.568.000 ; $ 350.300 ;E;4;2.436;Desistida
67;F; $ 784.000 ; $ 339.000 ;B;0;2.409;Negada
67;F; $ 2.800.000 ; $ 1.210.230 ;E;4;2.247;Aprobada
67;M; $ 3.640.000 ; $ 339.000 ;E;12;2.244;Desistida
67;F; $ 1.136.800 ; $ 621.500 ;E;7;1.923;Desistida
67;F; $ 1.680.000 ; $ 282.500 ;E;2;2.364;Desistida
67;F; $ 3.068.576 ; $ 565.000 ;E;5;2.532;Negada
67;M; $ 3.808.000 ; $ 1.695.000 ;E;19;2.229;Negada
67;F; $ 1.108.800 ; $ 226.000 ;E;3;2.214;Desistida
67;M; $ 1.120.000 ; $ 339.000 ;B;2;1.260;Negada
66;F; $ 3.360.000 ; $ 2.825.000 ;B;2;1.353;Desistida
66;F; $ 2.016.000 ; $ 836.200 ;E;3;2.058;Anulada
66;F; $ 1.962.240 ; $ 1.582.000 ;E;4;2.448;Negada
66;F; $ 2.128.000 ; $ 1.220.400 ;B;4;2.274;Negada
66;F; $ 2.016.000 ; $ 836.200 ;E;3;2.058;Anulada
66;F; $ 2.016.000 ; $ 836.200 ;E;3;2.058;Aprobada
66;F; $ 1.456.000 ; $ 1.084.800 ;B;1;3;Desistida
66;F; $ 4.480.000 ; $ 565.000 ;A;5;1.917;Negada
66;F; $ 1.120.000 ; $ 598.900 ;B;0;2.265;Desistida
66;F; $ 1.568.000 ; $ 621.500 ;E;5;2.304;Desistida
66;F; $ 1.680.000 ; $ 678.000 ;B;3;984;Negada
66;F; $ 2.912.000 ; $ 1.141.300 ;B;3;2.388;Negada
66;M; $ 2.240.000 ; $ 678.000 ;B;0;1.998;Negada
66;F; $ 2.912.000 ; $ 1.141.300 ;B;3;2.388;Desistida
66;F; $ 1.344.000 ; $ 1.068.980 ;B;1;2.157;Desistida
66;M; $ 853.260 ; $ 565.000 ;B;2;1.929;Desistida
66;M; $ 1.120.000 ; $ 904.000 ;B;0;1.800;Negada
66;F; $ 1.792.000 ; $ 1.017.000 ;B;1;3;Negada
66;F; $ 7.616.000 ; $ 6.554.000 ;B;1;2.262;Aprobada
66;F; $ 1.194.381 ; $ 339.000 ;E;3;2.499;Negada
66;F; $ 2.800.000 ; $ 1.130.000 ;E;8;1.059;Negada
66;F; $ 2.912.000 ; $ 1.695.000 ;B;2;1.284;Desistida
66;F; $ 1.008.000 ; $ 565.000 ;B;1;1.347;Desistida
66;F; $ 2.240.000 ; $ 395.500 ;B;0;2.037;Desistida
66;M; $ 6.720.000 ; $ 2.733.470 ;E;5;2.289;Aprobada
66;F; $ 1.019.200 ; $ 655.400 ;B;0;0;Anulada
66;F; $ 1.019.200 ; $ 655.400 ;B;0;0;Aprobada
66;F; $ 1.613.920 ; $ 824.900 ;B;0;2.016;Anulada
66;F; $ 1.613.920 ; $ 824.900 ;B;0;2.016;Aprobada
66;F; $ 3.808.000 ; $ 1.412.500 ;E;5;2.565;Anulada
66;F; $ 3.920.000 ; $ 2.282.600 ;E;5;1.977;Aprobada
66;M; $ 3.030.720 ; $ 1.073.500 ;E;10;2.289;Aprobada
66;F; $ 1.792.000 ; $ 226.000 ;B;2;933;Negada
66;F; $ 1.344.000 ; $ 339.000 ;B;0;2.040;Desistida
66;F; $ 4.480.000 ; $ 1.130.000 ;E;3;2.082;Negada
66;F; $ 1.151.945 ; $ 293.800 ;B;1;3;Negada
66;F; $ 4.480.000 ; $ 1.695.000 ;E;2;2.457;Desistida
66;F; $ 1.563.937 ; $ 542.400 ;E;7;2.127;Desistida
66;F; $ 1.019.200 ; $ 655.400 ;B;0;0;Anulada
